1	130	10	172	1174	627.296	26	0.459	0.719	21.3	0.313
2	0	1	2	20	626.336	0	0	0	9	0
3	0	0	4	154	624.062	0	0	0	0	-0.177
4	15	10	16	68	617.719	6	0.786	0.825	4.1	0.773
5	1	1	2	35	586.842	0	0	2.735	34	-0.25
6	23	4	48	95	624.694	8	1.72	1.267	65.25	0.19
7	4	2	2	35	620.83	1	0.636	0.349	5.5	0
8	37	2	67	205	621.76	3	-0.378	0.074	6.5	0.095
9	0	10	17	51	421.308	0	0	0	0.7	-0.558
10	0	1	0	7	611.138	0	0	0	1	0
12	8	2	2	15	493.01	3	1.535	1.347	8.5	0
13	9	5	3	11	566.401	3	0.469	0.297	6.2	0
14	5	3	27	40	624.841	0	-1	0.621	4	-0.192
17	4	0	3	9	616.335	2	3.616	2.474	0	0
18	6	4	2	28	623.353	1	0.447	-0.539	1	-0.425
19	0	0	0	3	98.046	0	0	0	0	0
20	3	2	2	3	267.769	0	-1	-0.564	2	0
21	0	2	6	50	532.168	0	0	0	2	-0.029
23	1	1	4	23	603.249	0	0	-1.225	0	-0.25
24	23	1	12	28	585.993	6	1.169	0.672	1	0.106
26	2	5	6	12	623.875	0	0	1.225	1.2	0
27	7	3	15	57	622.108	1	0.259	-0.036	0	0.435
28	21	15	30	217	615.522	2	0.178	0.215	7.867	0.066
29	2	4	4	5	606.882	0	-1	0.107	2	0
30	1	4	3	7	550.407	0	0	0	0.75	0
31	0	0	0	0	554.409	0	0	0	0	0
32	39	5	14	60	607.952	4	-0.449	-0.183	1.8	0.125
34	19	4	27	323	620.758	3	0.154	0.263	2.5	-0.105
35	6	0	6	22	620.7	0	-1	0.573	0	0.167
36	2	0	0	11	622.485	0	-1	-0.594	0	0
37	1	1	2	19	579.643	0	0	-0.58	1	1
38	33	5	49	218	624.291	1	-0.643	-0.164	11.2	0.12
39	0	0	0	1	609.339	0	0	0	0	0
42	11	0	9	3	604.589	0	-1	0.51	0	-0.202
43	5	2	8	12	568.641	0	-1	-0.451	0.5	0.217
46	3	3	4	32	606.215	2	2.405	0.125	2.667	0
47	0	0	0	3	468.921	0	0	0	0	0
48	7	3	2	5	118.054	0	-1	0.166	8.333	0.287
49	10	4	14	63	571.828	0	-1	0.298	4.25	-0.859
51	44	1	21	98	623.239	11	0.335	0.188	1	0.072
53	10	2	5	21	624.314	1	-0.032	0.208	3.5	1
54	1	0	0	3	588.583	0	-1	0	0	0
55	143	7	220	195	619.525	24	0.137	0.343	3	0.118
56	0	0	0	10	591.595	0	0	0	0	0
59	5	0	6	19	623.05	2	8.916	1.361	0	-0.375
60	2	1	0	1	533.45	1	1	1	0	0
61	1	1	1	8	556.04	1	3	1	1	0
62	80	93	306	179	624.505	13	0.261	0.068	2.548	-0.053
63	5	5	22	7	617.663	2	1.601	0.334	10.4	0.393
65	0	0	0	0	0	0	0	0	0	0
66	0	0	0	6	115.161	0	0	0	0	0
67	0	1	2	27	496.106	0	0	0	1	0
69	7	0	1	12	603.931	0	-1	0.491	0	0
70	12	8	43	74	621.111	3	0.619	0.751	3.5	0.105
71	1	3	5	1	224.305	0	-1	-0.981	2.333	0
72	0	0	0	5	621.271	0	0	0	0	0
74	2	1	3	28	577.901	1	0	0	60	0
75	0	0	0	2	622.218	0	0	0	0	0
76	100	2	147	68	577.208	22	0.287	0.217	17	0.163
77	2	4	7	43	573.971	0	-1	-1.068	2	0
78	1	0	0	23	623.362	0	0	0.944	0	0
80	8	5	9	4	568.995	2	0.826	-0.03	3.8	0.276
81	0	0	0	1	615.254	0	0	0	0	0
82	2	0	0	5	611.149	0	-1	-0.029	0	0
83	5	1	2	28	550.162	1	1.754	0.61	5	0.612
84	1	0	0	0	618.705	0	-1	-0.067	0	0
86	0	0	0	2	201.416	0	0	0	0	0
88	9	1	3	20	176.011	0	-1	0.955	6	-0.069
89	1	0	1	0	620.924	0	0	0.608	0	0.038
90	207	21	194	503	624.658	50	0.65	0.411	5.762	0.009
91	0	0	0	0	595.813	0	0	0	0	0
92	2	4	12	19	622.365	0	0	1.606	2	-0.018
93	1	0	6	4	583.805	0	0	-0.818	0	-0.16
94	11	7	34	55	617.109	3	6.213	0.996	3.714	0.39
95	1	0	0	1	527.585	1	3	0.892	0	0
97	0	0	0	0	473.426	0	0	0	0	0
98	3	0	1	0	610.401	0	0	-0.475	0	0
99	2	2	5	28	603.581	0	-1	-0.34	5.5	0
100	233	20	71	122	618.233	38	-0.078	0.172	3.3	0.339
101	21	6	14	48	565.141	3	0.773	0.591	73.333	0.428
102	3	1	5	0	566.32	1	0.5	0.537	3	0.659
103	49	5	151	427	537.27	11	0.408	0.232	10.4	0.172
104	10	5	17	28	624.249	1	-0.237	-0.353	0.6	0.306
105	41	3	59	56	623.748	9	0.671	0.233	2	0.397
106	2	0	2	4	620.886	1	1	0.32	0	0
107	10	116	101	134	590.002	0	-1	0.137	2.845	-0.289
108	1	4	6	0	568.094	0	0	-0.23	2.75	0
109	3	5	7	16	624.445	0	-1	-0.643	2.4	0
111	8	1	1	11	239.06	1	-0.048	0.215	24	-1.225
112	11	0	3	5	559.142	3	0.22	0.186	0	0.116
113	6	9	35	81	609.154	2	2.539	-0.318	2.111	0.141
115	0	0	1	10	523.23	0	0	0	0	0
116	0	1	1	0	601.588	0	0	0	2	0
118	2	4	2	6	623.067	0	-1	-0.721	1.5	0
119	0	0	0	0	613.938	0	0	0	0	0
120	9	14	47	98	553.974	3	0.664	-0.022	2.571	-0.25
122	29	3	16	121	405.74	0	-1	0.085	8.333	0.08
123	25	6	37	117	624.968	5	0.412	0.432	3.167	0.367
124	2	0	0	0	389.985	1	0.2	1.414	0	0
125	2	2	3	17	610.754	0	0	0.707	1.5	1
126	0	2	1	12	624.234	0	0	0	0.5	0
127	10	1	3	25	342.593	1	-0.462	0.056	0	0.25
128	2	0	0	0	191.044	0	-1	-0.966	0	0
129	0	2	2	2	392.219	0	0	0	1.5	0
130	2	1	0	11	571.574	0	-1	-1.085	3	0
133	30	1	22	55	622.899	2	-0.562	-0.378	1	0.111
134	3	6	2	2	621.344	0	-1	0.233	1.5	0
135	18	2	21	28	595.323	3	-0.116	0.048	6.5	0.209
136	0	0	0	0	589.303	0	0	0	0	0
137	32	0	9	42	616.15	14	1.036	0.606	0	-0.322
138	0	1	2	3	620.608	0	0	0	6	0
