#,"De que curso você é aluno?","Você é...","Você já cursou, está cursando ou não cursou FPCC 2?","Em quantos repositórios de software você lembra ter contribuído nos últimos 2 anos?","Em quantas linguagens de programação você se considera fluente?","Qual seu nível de confiança hoje no uso de métodos estatísticos para analisar o resultado de um experimento?","Em quantos projetos de pesquisa você lembra ter participado?","Qual a sua altura em centímetros?","O quanto você gosta de formulários online? (Obrigado por ter respondido este!)","Start Date (UTC)","Submit Date (UTC)","Network ID"
ec97e624a84e2cc6f1785f16ddd4d1a5,Mestrado,Homem,"Estou cursando em 2017",10,3,8,1,178,3,"2017-03-20 21:06:34","2017-03-20 21:34:23",fd36743d00
e173916f6d1279873cc11d9fe07d142a,Mestrado,Homem,"Estou cursando em 2017",1,2,0,0,169,5,"2017-03-20 21:42:07","2017-03-20 21:43:15",288df050be
301b1ca8a658c728ec8417c4da7b3064,Mestrado,Homem,"Estou cursando em 2017",3,3,7,2,175,3,"2017-03-20 22:38:53","2017-03-20 22:41:10",828509fc1a
25d589a5e5062974ec604de4c09d2bd9,Mestrado,Homem,"Estou cursando em 2017",0,3,1,2,168,4,"2017-03-20 23:01:54","2017-03-20 23:06:43",02e08258f3
a9e57cf41b90cd4e134cf53d76fae015,Mestrado,Homem,"Estou cursando em 2017",3,4,6,1,184,4,"2017-03-20 23:29:35","2017-03-20 23:32:24",efcb4c16a4
5857f21ca844505110e65c6c5be7ec3b,Mestrado,Homem,"Estou cursando em 2017",1,2,9,2,176,5,"2017-03-20 23:49:37","2017-03-20 23:51:37",084af48fe0
3678479c04151ca41fa41827aee2f2bb,Mestrado,Homem,"Estou cursando em 2017",3,3,5,1,175,4,"2017-03-21 00:00:12","2017-03-21 00:04:49",ab92a4f68f
8268220e09eba726659817b044332f38,Mestrado,Homem,"Estou cursando em 2017",5,3,5,3,169,4,"2017-03-21 00:23:22","2017-03-21 00:24:39",4166640a3c
2b4f074c4894e52c1aea9fac7b6bcc52,Mestrado,Homem,"Estou cursando em 2017",1,4,8,5,177,5,"2017-03-21 00:45:12","2017-03-21 00:47:19",931eb34a4a
4d085b1ac369dff4cfea7ff0cda8793b,Mestrado,Homem,"Estou cursando em 2017",1,2,0,2,180,4,"2017-03-20 20:56:55","2017-03-21 01:29:06",c5bec90b7d
4f4ebe038d039e5c88043bcc388223c5,Mestrado,Homem,"Estou cursando em 2017",1,3,9,0,176,1,"2017-03-21 02:48:14","2017-03-21 02:50:18",b557198996
bfee29a3ee9e529dc29554bf7dc7f017,Doutorado,Homem,"Já cursei",2,1,5,4,175,4,"2017-03-21 03:08:55","2017-03-21 03:10:17",50e9f88436
0981ebc06d17dde57b77f6ac5565df6b,Mestrado,Homem,"Estou cursando em 2017",1,4,8,1,165,3,"2017-03-21 03:34:03","2017-03-21 03:36:02",bf863fb51b
ad51e669389750dee9f183081fe70213,Doutorado,Homem,"Estou cursando em 2017",0,3,7,5,173,4,"2017-03-21 11:17:31","2017-03-21 11:21:55",11ed557f31
e83530db9f012bead8dcb6ce6c3a3bbd,Mestrado,Homem,"Estou cursando em 2017",1,0,5,0,178,3,"2017-03-21 11:39:21","2017-03-21 11:40:30",0e8e27ce12
af495584268eee761bf52f06021e9222,Mestrado,Homem,"Estou cursando em 2017",6,3,7,0,182,3,"2017-03-21 12:38:15","2017-03-21 12:44:02",aaf5bbeec1
504c55d21b0786881736d2603016dd3d,Mestrado,Homem,"Estou cursando em 2017",1,1,7,2,182,5,"2017-03-21 13:03:24","2017-03-21 13:06:53",997de5f636
47053d79d23318ff5ce6e4ab0ea74cc1,Mestrado,Homem,"Estou cursando em 2017",5,4,7,3,182,3,"2017-03-21 14:41:50","2017-03-21 14:43:20",64d13ca9a1
32c5e825ba424be2362f02307e663c29,Mestrado,Homem,"Estou cursando em 2017",15,3,4,4,179,2,"2017-03-21 14:55:59","2017-03-21 15:00:35",e279a6c9c7
